"","STUDENTID","AGE","GENDER","HS_TYPE","SCHOLARSHIP","WORK","ACTIVITY","PARTNER","SALARY","TRANSPORT","LIVING","MOTHER_EDU","FATHER_EDU","X._SIBLINGS","KIDS","MOTHER_JOB","FATHER_JOB","STUDY_HRS","READ_FREQ","READ_FREQ_SCI","ATTEND_DEPT","IMPACT","ATTEND","PREP_STUDY","PREP_EXAM","NOTES","LISTENS","LIKES_DISCUSS","CLASSROOM","CUML_GPA","EXP_GPA","COURSE.ID","GRADE"
"701","STUDENT701","<18 yrs","Male","Public","Partial","Yes","Yes","Yes","RS.60k-RS.80k","Public","Dorm","No Schooling","Primary","3","One","Unemployed","Unemployed","less than 1","Sometimes","Often","Often","Low","Regular","Moderate","Low","Often","Often","Sometimes","Quiet","<2.0","3.0-3.5",3,"D"
"702","STUDENT702","18-22 yrs","Female","Private","Merit","No","No","No","<RS.20k","Public","House","High School","Secondary","1","None","Manager","Clerk","1 to 3","Sometimes","Sometimes","Often","Low","Regular","High","Moderate","Often","Often","Sometimes","Quiet","2.5-3.0","2.0-2.5",3,"C"
"703","STUDENT703","<18 yrs","Male","Private","Need-based","No","No","Yes","RS.20k-RS.40k","Public","House","High School","No Schooling","4+","More than 1","Laborer","Clerk","1 to 3","Sometimes","Often","Often","Low","Regular","Low","Moderate","Often","Sometimes","Often","Quiet","<2.0","2.0-2.5",3,"B"
"704","STUDENT704","18-22 yrs","Male","Public","Partial","No","No","No","RS.60k-RS.80k","Private","House","Secondary","Graduate","1","More than 1","Manager","Clerk","1 to 3","Sometimes","Often","Never","Low","Regular","High","Low","Often","Often","Often","Quiet","2.0-2.5","3.0-3.5",3,"D"
"705","STUDENT705","<18 yrs","Female","Public","Partial","Yes","Yes","Yes","<RS.20k","Walk","House","No Schooling","Primary","1","More than 1","Clerk","Manager","5 to 7","Never","Never","Often","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Quiet","2.0-2.5","<2.0",4,"D"
"706","STUDENT706",">20 yrs","Female","Home School","Merit","Yes","No","No","<RS.20k","Walk","House","Primary","High School","1","More than 1","Manager","Laborer","3 to 5","Never","Never","Often","Low","Regular","High","Low","Often","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",4,"C"
"707","STUDENT707","<18 yrs","Female","Private","Partial","No","No","Yes","<RS.20k","Public","Dorm","Secondary","No Schooling","2","None","Laborer","Manager","1 to 3","Sometimes","Often","Often","Low","Regular","Moderate","Moderate","Often","Sometimes","Often","Moderate","2.0-2.5","<2.0",4,"C"
"708","STUDENT708",">20 yrs","Male","Private","Merit","No","No","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","Primary","2","One","Laborer","Manager","3 to 5","Sometimes","Sometimes","Often","Low","Regular","Moderate","Moderate","Often","Never","Often","Moderate","2.0-2.5","2.0-2.5",4,"C+"
"709","STUDENT709","18-22 yrs","Male","Private","Full","Yes","No","Yes","<RS.20k","Private","Apartment","No Schooling","Secondary","0","More than 1","Clerk","Laborer","1 to 3","Never","Often","Often","Low","Regular","Moderate","Moderate","Often","Sometimes","Often","Quiet",">3.5","2.0-2.5",4,"C"
"710","STUDENT710","18-22 yrs","Male","Home School","Full","Yes","No","Yes","RS.60k-RS.80k","Public","Apartment","No Schooling","Primary","2","More than 1","Laborer","Unemployed","5 to 7","Sometimes","Often","Often","Low","Regular","High","Low","Often","Sometimes","Often","Quiet",">3.5","3.0-3.5",4,"C"
"711","STUDENT711",">20 yrs","Male","Home School","Full","Yes","Yes","No","RS.20k-RS.40k","Public","Dorm","No Schooling","No Schooling","0","More than 1","Laborer","Clerk","3 to 5","Never","Sometimes","Often","Low","Regular","Moderate","Low","Often","Often","Often","Moderate",">3.5","2.5-3.0",4,"C+"
"712","STUDENT712","18-22 yrs","Male","Home School","Partial","Yes","No","Yes","<RS.20k","Private","House","No Schooling","No Schooling","1","None","Manager","Clerk","1 to 3","Sometimes","Sometimes","Often","Low","Regular","Moderate","Low","Sometimes","Never","Sometimes","Quiet","2.0-2.5","<2.0",4,"D"
"713","STUDENT713","18-22 yrs","Male","Home School","Need-based","No","No","Yes","<RS.20k","Walk","Apartment","Secondary","Secondary","0","None","Laborer","Unemployed","1 to 3","Often","Sometimes","Never","High","Regular","Low","Low","Often","Often","Sometimes","Quiet","2.5-3.0","2.5-3.0",4,"D"
"714","STUDENT714","18-22 yrs","Female","Public","Full","No","No","No","RS.60k-RS.80k","Private","House","Primary","Secondary","2","More than 1","Clerk","Manager","1 to 3","Sometimes","Sometimes","Often","Low","Regular","Moderate","Low","Often","Sometimes","Sometimes","Quiet","2.0-2.5","2.0-2.5",4,"B"
"715","STUDENT715","<18 yrs","Female","Public","None","Yes","No","Yes","RS.60k-RS.80k","Public","Dorm","Primary","Primary","1","More than 1","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Never","Often","Quiet","2.0-2.5","2.0-2.5",4,"D"
"716","STUDENT716","18-22 yrs","Male","Private","Partial","No","No","No","RS.20k-RS.40k","Private","House","No Schooling","No Schooling","0","One","Manager","Professional","5 to 7","Sometimes","Often","Often","High","Regular","Moderate","Low","Often","Sometimes","Often","Quiet","<2.0","2.0-2.5",4,"C+"
"717","STUDENT717","<18 yrs","Female","Home School","Merit","No","Yes","No","<RS.20k","Private","House","High School","Secondary","0","None","Professional","Manager","less than 1","Never","Sometimes","Often","Low","Irregular","Moderate","Low","Sometimes","Often","Sometimes","Quiet","<2.0","2.0-2.5",4,"B"
"718","STUDENT718","18-22 yrs","Female","Public","None","No","No","Yes","RS.40k-RS.60k","Public","Apartment","High School","Primary","1","One","Laborer","Manager","3 to 5","Often","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Never","Sometimes","Quiet","2.5-3.0","3.0-3.5",4,"C"
"719","STUDENT719",">20 yrs","Female","Public","Partial","Yes","Yes","Yes","RS.60k-RS.80k","Walk","Apartment","High School","No Schooling","4+","More than 1","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Often","Low","Irregular","Moderate","Low","Often","Sometimes","Sometimes","Quiet",">3.5","<2.0",4,"B"
"720","STUDENT720",">20 yrs","Male","Home School","Partial","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","Secondary","High School","3","One","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Quiet","3.0-3.5","2.0-2.5",4,"D"
"721","STUDENT721","18-22 yrs","Female","Private","Partial","No","No","No",">RS.80k","Private","House","No Schooling","High School","0","None","Clerk","Clerk","1 to 3","Sometimes","Never","Never","Low","Regular","Moderate","Low","Sometimes","Never","Sometimes","Quiet",">3.5","3.0-3.5",4,"B"
"722","STUDENT722","<18 yrs","Male","Home School","Partial","Yes","Yes","Yes","RS.60k-RS.80k","Public","Dorm","Primary","No Schooling","4+","None","Laborer","Manager","1 to 3","Never","Never","Never","Low","Regular","High","Low","Often","Sometimes","Often","Quiet",">3.5","2.5-3.0",4,"C+"
"723","STUDENT723",">20 yrs","Female","Private","Full","No","Yes","Yes","RS.60k-RS.80k","Public","Dorm","Primary","Primary","2","One","Laborer","Professional","less than 1","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Never","Moderate","<2.0","<2.0",4,"D"
"724","STUDENT724",">20 yrs","Male","Home School","Need-based","No","Yes","Yes","<RS.20k","Public","Dorm","No Schooling","Secondary","1","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Often","Moderate","2.0-2.5","3.0-3.5",4,"D"
"725","STUDENT725","18-22 yrs","Male","Public","None","Yes","Yes","Yes",">RS.80k","Walk","Apartment","Primary","Primary","1","None","Laborer","Unemployed","3 to 5","Never","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Never","Quiet","2.0-2.5","2.0-2.5",4,"C"
"726","STUDENT726",">20 yrs","Male","Public","Merit","No","Yes","No","<RS.20k","Public","Apartment","No Schooling","Primary","4+","One","Laborer","Unemployed","less than 1","Never","Sometimes","Never","Low","Regular","High","Moderate","Often","Sometimes","Sometimes","Quiet","2.5-3.0","<2.0",4,"C"
"727","STUDENT727","<18 yrs","Male","Public","None","Yes","Yes","No","RS.20k-RS.40k","Public","With Parents","Secondary","Secondary","1","None","Laborer","Manager","5 to 7","Never","Never","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","3.0-3.5",4,"D"
"728","STUDENT728","<18 yrs","Male","Home School","Partial","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","Secondary","Secondary","1","More than 1","Laborer","Clerk","less than 1","Never","Sometimes","Never","Low","Regular","High","Low","Never","Sometimes","Never","Moderate","3.0-3.5","3.0-3.5",4,"B"
"729","STUDENT729","18-22 yrs","Female","Private","None","Yes","Yes","Yes","RS.60k-RS.80k","Public","House","No Schooling","Secondary","0","More than 1","Laborer","Manager","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","High","Low","Often","Often","Often","Noisy","3.0-3.5","<2.0",4,"C"
"730","STUDENT730","18-22 yrs","Female","Public","Full","No","No","No",">RS.80k","Private","House","High School","Secondary","0","One","Manager","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Sometimes","Quiet","<2.0","2.5-3.0",4,"D"
"731","STUDENT731","<18 yrs","Male","Private","Full","Yes","No","No","RS.20k-RS.40k","Public","House","Primary","High School","1","More than 1","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","3.0-3.5",4,"B"
"732","STUDENT732",">20 yrs","Male","Home School","Full","Yes","Yes","No","<RS.20k","Walk","Apartment","Primary","Primary","2","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","3.0-3.5",4,"B"
"733","STUDENT733","<18 yrs","Male","Home School","Need-based","Yes","Yes","Yes","RS.20k-RS.40k","Private","House","Secondary","High School","1","None","Clerk","Laborer","less than 1","Never","Never","Never","Low","Irregular","High","Low","Sometimes","Sometimes","Sometimes","Moderate","<2.0","3.0-3.5",4,"B"
"734","STUDENT734",">20 yrs","Female","Home School","Need-based","No","No","Yes",">RS.80k","Private","House","No Schooling","Undergraduate","0","None","Clerk","Laborer","1 to 3","Often","Often","Never","High","Regular","High","Moderate","Often","Never","Often","Noisy","3.0-3.5","2.0-2.5",4,"C"
"735","STUDENT735","18-22 yrs","Female","Public","None","Yes","Yes","Yes",">RS.80k","Public","Dorm","Primary","Undergraduate","3","One","Laborer","Laborer","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Noisy","3.0-3.5","<2.0",4,"C"
"736","STUDENT736","18-22 yrs","Male","Private","Merit","Yes","Yes","Yes",">RS.80k","Public","Dorm","High School","Primary","1","More than 1","Laborer","Clerk","1 to 3","Sometimes","Never","Never","Low","Irregular","High","Low","Often","Sometimes","Often","Noisy","3.0-3.5","3.0-3.5",4,"C"
"737","STUDENT737","<18 yrs","Female","Home School","Partial","No","No","Yes","RS.40k-RS.60k","Walk","Apartment","High School","No Schooling","1","More than 1","Manager","Unemployed","5 to 7","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Often","Sometimes","Quiet","3.0-3.5","2.0-2.5",4,"D"
"738","STUDENT738","18-22 yrs","Female","Home School","None","Yes","Yes","Yes","RS.20k-RS.40k","Public","Apartment","Primary","High School","1","None","Clerk","Unemployed","5 to 7","Sometimes","Sometimes","Often","High","Irregular","High","Low","Often","Sometimes","Sometimes","Noisy","2.0-2.5","<2.0",4,"C"
"739","STUDENT739","18-22 yrs","Female","Home School","None","Yes","No","Yes","RS.20k-RS.40k","Public","Dorm","Secondary","Primary","3","One","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","High","Low","Often","Sometimes","Often","Noisy","3.0-3.5","2.5-3.0",4,"C+"
"740","STUDENT740",">20 yrs","Female","Public","Full","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","No Schooling","Primary","1","More than 1","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Often","Low","Irregular","High","Low","Sometimes","Sometimes","Sometimes","Moderate","2.0-2.5","2.0-2.5",4,"D"
"741","STUDENT741","<18 yrs","Female","Public","Full","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","No Schooling","Primary","4+","None","Laborer","Professional","3 to 5","Often","Sometimes","Often","Low","Irregular","High","Low","Often","Never","Often","Noisy","2.5-3.0","2.5-3.0",4,"C"
"742","STUDENT742","<18 yrs","Male","Private","Need-based","Yes","Yes","No","RS.20k-RS.40k","Private","Apartment","Secondary","Secondary","2","One","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Moderate","Regular","Moderate","Low","Often","Sometimes","Sometimes","Noisy","2.0-2.5","2.0-2.5",4,"B"
"743","STUDENT743","<18 yrs","Female","Home School","Need-based","No","Yes","No","RS.20k-RS.40k","Walk","Apartment","No Schooling","Secondary","2","More than 1","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Often","Low","Regular","High","Moderate","Often","Never","Sometimes","Noisy","3.0-3.5","3.0-3.5",4,"D"
"744","STUDENT744","18-22 yrs","Male","Home School","Full","Yes","Yes","No","RS.20k-RS.40k","Walk","Apartment","High School","Primary","3","One","Laborer","Clerk","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Never","Often","Noisy","2.5-3.0","2.0-2.5",4,"D"
"745","STUDENT745",">20 yrs","Male","Home School","Merit","No","Yes","No","RS.20k-RS.40k","Public","Dorm","High School","No Schooling","3","One","Laborer","Manager","less than 1","Often","Often","Never","Low","Regular","High","Moderate","Often","Never","Sometimes","Noisy","2.5-3.0","<2.0",4,"B"
"746","STUDENT746","<18 yrs","Female","Home School","None","No","No","Yes","RS.40k-RS.60k","Public","Dorm","Secondary","High School","2","One","Laborer","Unemployed","5 to 7","Sometimes","Often","Never","Low","Irregular","Low","Low","Often","Sometimes","Often","Noisy","2.5-3.0","3.0-3.5",5,"B"
"747","STUDENT747",">20 yrs","Female","Private","Partial","Yes","Yes","Yes",">RS.80k","Public","Dorm","Secondary","No Schooling","2","One","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Never","Often","Moderate","3.0-3.5","3.0-3.5",5,"B"
"748","STUDENT748",">20 yrs","Male","Home School","Partial","Yes","Yes","No","<RS.20k","Public","Apartment","No Schooling","High School","2","One","Laborer","Manager","3 to 5","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Never","Often","Moderate","<2.0","<2.0",5,"C+"
"749","STUDENT749",">20 yrs","Male","Public","Need-based","Yes","No","No","RS.40k-RS.60k","Public","Dorm","Primary","High School","3","One","Laborer","Manager","less than 1","Often","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Often","Moderate","2.0-2.5","3.0-3.5",5,"D"
"750","STUDENT750",">20 yrs","Male","Public","Partial","No","Yes","Yes","RS.60k-RS.80k","Public","Dorm","Primary","No Schooling","3","None","Laborer","Clerk","5 to 7","Sometimes","Sometimes","Never","Low","Irregular","High","Low","Often","Never","Sometimes","Quiet","2.0-2.5","2.5-3.0",5,"D"
"751","STUDENT751",">20 yrs","Female","Private","Full","Yes","Yes","No","RS.60k-RS.80k","Walk","Apartment","Secondary","Primary","3","None","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Often","Noisy",">3.5","<2.0",5,"D"
"752","STUDENT752",">20 yrs","Male","Home School","Need-based","Yes","Yes","Yes","<RS.20k","Walk","Apartment","No Schooling","Secondary","1","None","Manager","Unemployed","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","3.0-3.5",5,"D"
"753","STUDENT753","<18 yrs","Female","Home School","Merit","No","No","No",">RS.80k","Public","Apartment","Secondary","No Schooling","4+","None","Laborer","Manager","5 to 7","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Often","Often","Noisy",">3.5","3.0-3.5",5,"C+"
"754","STUDENT754",">20 yrs","Female","Public","Merit","No","Yes","Yes","RS.60k-RS.80k","Public","Apartment","High School","Primary","3","More than 1","Laborer","Clerk","1 to 3","Sometimes","Often","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Noisy","3.0-3.5","3.0-3.5",5,"C+"
"755","STUDENT755","<18 yrs","Female","Private","None","Yes","Yes","Yes","RS.20k-RS.40k","Public","Dorm","No Schooling","Primary","1","More than 1","Laborer","Unemployed","5 to 7","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","2.0-2.5","3.0-3.5",5,"C+"
"756","STUDENT756","<18 yrs","Male","Private","Partial","No","Yes","No","RS.20k-RS.40k","Public","Dorm","Secondary","Primary","4+","None","Laborer","Clerk","3 to 5","Never","Sometimes","Never","Low","Regular","High","Low","Never","Often","Sometimes","Moderate","2.0-2.5","<2.0",5,"C+"
"757","STUDENT757","18-22 yrs","Male","Public","None","Yes","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Secondary","2","None","Laborer","Manager","1 to 3","Never","Never","Never","Low","Irregular","Moderate","Low","Sometimes","Sometimes","Often","Quiet","3.0-3.5","2.0-2.5",5,"C"
"758","STUDENT758",">20 yrs","Female","Private","None","Yes","Yes","No","<RS.20k","Public","Dorm","No Schooling","Primary","4+","One","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Never","Often","Quiet","<2.0","2.0-2.5",5,"B"
"759","STUDENT759","<18 yrs","Female","Home School","None","No","Yes","No",">RS.80k","Public","Dorm","Secondary","No Schooling","1","One","Manager","Clerk","3 to 5","Never","Often","Never","Low","Irregular","Moderate","Low","Sometimes","Never","Sometimes","Quiet","3.0-3.5","2.5-3.0",5,"D"
"760","STUDENT760","<18 yrs","Male","Private","Partial","No","No","Yes","RS.20k-RS.40k","Private","House","No Schooling","Secondary","0","More than 1","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Often","Noisy",">3.5","2.5-3.0",5,"C"
"761","STUDENT761","18-22 yrs","Female","Public","Full","Yes","Yes","No",">RS.80k","Public","Dorm","Primary","Secondary","0","One","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Sometimes","Moderate","3.0-3.5","3.0-3.5",5,"C"
"762","STUDENT762","<18 yrs","Female","Private","Partial","Yes","Yes","Yes","RS.40k-RS.60k","Public","Apartment","Secondary","Secondary","0","More than 1","Laborer","Manager","1 to 3","Sometimes","Never","Never","Low","Regular","High","Low","Sometimes","Sometimes","Sometimes","Noisy","2.0-2.5","2.5-3.0",5,"C"
"763","STUDENT763","<18 yrs","Male","Private","Partial","Yes","Yes","Yes","RS.60k-RS.80k","Public","Dorm","No Schooling","Secondary","0","None","Laborer","Professional","5 to 7","Sometimes","Sometimes","Never","Low","Regular","High","Low","Often","Never","Sometimes","Quiet","2.0-2.5","2.0-2.5",5,"D"
"764","STUDENT764","<18 yrs","Male","Home School","Partial","No","Yes","Yes","RS.20k-RS.40k","Public","Apartment","Secondary","High School","1","More than 1","Laborer","Laborer","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Often","Sometimes","Sometimes","Noisy","3.0-3.5","2.0-2.5",5,"D"
"765","STUDENT765","<18 yrs","Male","Private","Need-based","Yes","No","Yes","RS.40k-RS.60k","Walk","Apartment","Secondary","High School","1","None","Clerk","Unemployed","1 to 3","Sometimes","Never","Never","Low","Regular","Low","Low","Sometimes","Never","Often","Quiet","2.0-2.5","2.5-3.0",5,"C"
"766","STUDENT766","18-22 yrs","Female","Public","Merit","Yes","Yes","No","RS.60k-RS.80k","Public","Dorm","Secondary","Secondary","2","More than 1","Laborer","Unemployed","3 to 5","Sometimes","Sometimes","Never","Low","Irregular","High","Low","Often","Never","Often","Noisy","2.5-3.0","2.5-3.0",5,"C"
"767","STUDENT767",">20 yrs","Female","Public","Need-based","Yes","Yes","No","RS.60k-RS.80k","Public","Dorm","Secondary","Secondary","1","More than 1","Laborer","Professional","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Quiet","3.0-3.5","3.0-3.5",5,"D"
"768","STUDENT768",">20 yrs","Female","Home School","None","Yes","Yes","Yes",">RS.80k","Public","Dorm","No Schooling","Secondary","4+","One","Laborer","Manager","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Sometimes","Sometimes","Sometimes","Quiet","3.0-3.5","2.0-2.5",5,"D"
"769","STUDENT769",">20 yrs","Male","Private","Full","Yes","Yes","No","RS.60k-RS.80k","Public","Dorm","Secondary","Primary","2","One","Laborer","Professional","5 to 7","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Often","Quiet","3.0-3.5","3.0-3.5",5,"D"
"770","STUDENT770","18-22 yrs","Female","Private","Partial","Yes","Yes","No","RS.20k-RS.40k","Public","Apartment","No Schooling","Secondary","0","None","Professional","Manager","less than 1","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Never","Often","Moderate",">3.5","2.0-2.5",5,"C"
"771","STUDENT771",">20 yrs","Female","Private","Full","Yes","No","No","RS.20k-RS.40k","Public","Apartment","No Schooling","Secondary","2","One","Laborer","Laborer","3 to 5","Never","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Often","Moderate","2.0-2.5","<2.0",5,"C"
"772","STUDENT772","<18 yrs","Female","Public","Merit","Yes","Yes","No",">RS.80k","Walk","Dorm","Primary","Secondary","1","One","Laborer","Manager","less than 1","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Sometimes","Sometimes","Quiet","2.5-3.0","<2.0",5,"B"
"773","STUDENT773",">20 yrs","Female","Home School","None","Yes","Yes","Yes","<RS.20k","Private","Dorm","Secondary","No Schooling","1","None","Laborer","Clerk","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Sometimes","Sometimes","Noisy","2.5-3.0","2.0-2.5",5,"C"
"774","STUDENT774","18-22 yrs","Male","Home School","Need-based","No","No","Yes","RS.40k-RS.60k","Public","Dorm","Primary","Primary","4+","None","Laborer","Unemployed","3 to 5","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Often","Often","Quiet","2.5-3.0","3.0-3.5",6,"D"
"775","STUDENT775",">20 yrs","Male","Public","Full","No","Yes","Yes","RS.20k-RS.40k","Public","Dorm","No Schooling","Secondary","3","More than 1","Laborer","Unemployed","less than 1","Never","Never","Never","Low","Regular","Moderate","Moderate","Sometimes","Sometimes","Sometimes","Quiet","3.0-3.5","<2.0",6,"C"
"776","STUDENT776",">20 yrs","Female","Home School","Full","Yes","No","Yes","RS.60k-RS.80k","Public","Dorm","Primary","No Schooling","4+","More than 1","Laborer","Unemployed","less than 1","Sometimes","Sometimes","Never","Low","Irregular","Moderate","Low","Sometimes","Sometimes","Sometimes","Moderate","2.5-3.0","2.0-2.5",6,"D"
"777","STUDENT777","<18 yrs","Male","Public","None","Yes","Yes","No","RS.20k-RS.40k","Walk","Apartment","Secondary","High School","1","More than 1","Manager","Laborer","5 to 7","Never","Never","Never","Low","Regular","Low","Moderate","Often","Never","Often","Quiet",">3.5","2.0-2.5",6,"B"
"778","STUDENT778","18-22 yrs","Female","Home School","Partial","No","Yes","No","RS.20k-RS.40k","Public","Apartment","No Schooling","No Schooling","4+","One","Laborer","Unemployed","1 to 3","Sometimes","Sometimes","Never","Low","Regular","Moderate","High","Never","Often","Often","Noisy",">3.5","2.5-3.0",6,"D"
"779","STUDENT779","<18 yrs","Male","Private","Full","Yes","No","Yes","RS.20k-RS.40k","Public","Dorm","High School","Secondary","4+","One","Laborer","Manager","less than 1","Sometimes","Often","Never","Low","Regular","Low","Moderate","Often","Sometimes","Often","Noisy",">3.5","3.0-3.5",6,"C+"
"780","STUDENT780","<18 yrs","Male","Private","None","No","No","No","RS.20k-RS.40k","Public","Dorm","Secondary","Primary","2","None","Clerk","Clerk","less than 1","Often","Sometimes","Never","Low","Regular","High","Low","Often","Sometimes","Often","Quiet",">3.5","2.0-2.5",6,"C"
"781","STUDENT781",">20 yrs","Female","Private","Full","Yes","Yes","Yes",">RS.80k","Public","Dorm","No Schooling","Secondary","4+","One","Laborer","Unemployed","5 to 7","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Often","Sometimes","Sometimes","Moderate",">3.5","<2.0",6,"C+"
"782","STUDENT782","<18 yrs","Female","Public","Merit","Yes","No","No","RS.40k-RS.60k","Public","Dorm","High School","High School","2","None","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Often","Sometimes","Moderate","3.0-3.5","<2.0",6,"C"
"783","STUDENT783","<18 yrs","Male","Private","Merit","Yes","Yes","Yes","RS.60k-RS.80k","Private","Dorm","Primary","No Schooling","2","One","Laborer","Clerk","3 to 5","Sometimes","Sometimes","Never","Low","Regular","Moderate","Low","Never","Often","Often","Quiet","2.0-2.5","<2.0",6,"C"
"784","STUDENT784","<18 yrs","Male","Home School","Need-based","Yes","No","No",">RS.80k","Public","Apartment","No Schooling","Secondary","3","One","Laborer","Clerk","1 to 3","Never","Sometimes","Never","High","Irregular","Moderate","Low","Often","Sometimes","Sometimes","Moderate","3.0-3.5","<2.0",6,"D"
"785","STUDENT785",">20 yrs","Male","Public","Merit","Yes","Yes","Yes","RS.40k-RS.60k","Walk","Apartment","Primary","Secondary","1","More than 1","Laborer","Manager","5 to 7","Sometimes","Sometimes","Never","Low","Regular","High","Low","Sometimes","Often","Often","Moderate",">3.5","3.0-3.5",6,"C+"
"786","STUDENT786","18-22 yrs","Female","Public","Full","Yes","Yes","Yes","RS.60k-RS.80k","Public","Dorm","Primary","Secondary","2","One","Laborer","Unemployed","5 to 7","Never","Sometimes","Never","Low","Regular","Moderate","Low","Sometimes","Sometimes","Sometimes","Quiet","2.5-3.0","<2.0",6,"C"
"787","STUDENT787",">20 yrs","Female","Home School","Merit","Yes","Yes","Yes","RS.60k-RS.80k","Public","Dorm","Primary","Primary","1","More than 1","Laborer","Unemployed","5 to 7","Sometimes","Sometimes","Never","High","Regular","High","Low","Often","Sometimes","Often","Quiet","3.0-3.5","<2.0",6,"C"
"788","STUDENT788","<18 yrs","Male","Home School","Need-based","Yes","Yes","No","RS.60k-RS.80k","Public","Dorm","No Schooling","High School","2","One","Laborer","Manager","1 to 3","Never","Sometimes","Never","High","Irregular","Low","Low","Sometimes","Never","Sometimes","Quiet","2.0-2.5","2.5-3.0",6,"C+"
"789","STUDENT789","<18 yrs","Male","Home School","Partial","Yes","Yes","Yes","RS.40k-RS.60k","Public","Dorm","High School","Primary","4+","None","Laborer","Professional","5 to 7","Sometimes","Sometimes","Never","Low","Regular","Low","Low","Often","Sometimes","Sometimes","Noisy",">3.5","2.0-2.5",6,"D"
"790","STUDENT790","<18 yrs","Female","Home School","None","No","No","Yes","<RS.20k","Public","Apartment","Primary","High School","3","None","Laborer","Laborer","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","High","Low","Sometimes","Sometimes","Never","Moderate","2.0-2.5","3.0-3.5",6,"B"
"791","STUDENT791","18-22 yrs","Male","Public","Partial","No","Yes","Yes","<RS.20k","Public","Dorm","Secondary","Secondary","4+","One","Laborer","Professional","1 to 3","Sometimes","Sometimes","Never","Low","Irregular","Low","Low","Sometimes","Sometimes","Often","Moderate","3.0-3.5","<2.0",6,"B"
